data;volume_historico
2023-09-29;1602.0
2023-09-30;
2023-10-01;
2023-10-02;904.0
2023-10-03;2508.0
2023-10-04;412.0
2023-10-05;1959.0
2023-10-06;2072.0
2023-10-07;
2023-10-08;
2023-10-09;902.0
2023-10-10;1130.0
2023-10-11;916.0
2023-10-12;
2023-10-13;347.0
2023-10-14;
2023-10-15;
2023-10-16;553.0
2023-10-17;576.0
2023-10-18;794.0
2023-10-19;1146.0
2023-10-20;2336.0
2023-10-21;
2023-10-22;
2023-10-23;1069.0
2023-10-24;1077.0
2023-10-25;783.0
2023-10-26;785.0
2023-10-27;3662.0
2023-10-28;
2023-10-29;
2023-10-30;598.0
2023-10-31;1957.0
2023-11-01;1172.0
2023-11-02;
2023-11-03;3463.0
2023-11-04;
2023-11-05;
2023-11-06;1663.0
2023-11-07;1537.0
2023-11-08;1044.0
2023-11-09;3551.0
2023-11-10;1459.0
2023-11-11;
2023-11-12;
2023-11-13;729.0
2023-11-14;1240.0
2023-11-15;256.0
2023-11-16;1517.0
2023-11-17;1618.0
2023-11-18;
2023-11-19;
2023-11-20;127.0
2023-11-21;4042.999999999998
2023-11-22;2009.0
2023-11-23;2297.0
2023-11-24;1880.0
2023-11-25;
2023-11-26;
2023-11-27;3846.0
2023-11-28;1759.0
2023-11-29;1268.0
2023-11-30;1536.0
2023-12-01;2478.0
2023-12-02;
2023-12-03;
2023-12-04;812.0
2023-12-05;2876.0
2023-12-06;2440.0
2023-12-07;989.0
2023-12-08;3326.0
2023-12-09;
2023-12-10;
2023-12-11;1380.0
2023-12-12;3434.0
2023-12-13;1999.0
2023-12-14;1842.0
2023-12-15;3037.0
2023-12-16;
2023-12-17;
2023-12-18;2437.0
2023-12-19;4042.999999999998
2023-12-20;795.0
2023-12-21;
2023-12-22;
2023-12-23;
2023-12-24;
2023-12-25;
2023-12-26;
2023-12-27;
2023-12-28;241.0
2023-12-29;4.0
2023-12-30;
2023-12-31;
2024-01-01;
2024-01-02;
2024-01-03;5.0
2024-01-04;409.0
2024-01-05;
2024-01-06;
2024-01-07;
2024-01-08;42.0
2024-01-09;152.0
2024-01-10;68.0
2024-01-11;
2024-01-12;77.0
2024-01-13;
2024-01-14;
2024-01-15;
2024-01-16;34.0
2024-01-17;16.0
2024-01-18;93.0
2024-01-19;193.0
2024-01-20;3.0
2024-01-21;
2024-01-22;284.0
2024-01-23;649.0
2024-01-24;537.0
2024-01-25;522.0
2024-01-26;647.0
2024-01-27;
2024-01-28;
2024-01-29;436.0
2024-01-30;1017.0
2024-01-31;1442.0
2024-02-01;509.0
2024-02-02;528.0
2024-02-03;201.0
2024-02-04;
2024-02-05;581.0
2024-02-06;2498.0
2024-02-07;1003.0
2024-02-08;1840.0
2024-02-09;886.0
2024-02-10;
2024-02-11;
2024-02-12;
2024-02-13;
2024-02-14;866.0
2024-02-15;1386.0
2024-02-16;1053.0
2024-02-17;388.0
2024-02-18;
2024-02-19;2628.0
2024-02-20;673.0
2024-02-21;2690.0
2024-02-22;1757.0
2024-02-23;1690.0
2024-02-24;
2024-02-25;
2024-02-26;962.0
2024-02-27;1061.0
2024-02-28;2709.0
2024-02-29;648.0
2024-03-01;1052.0
2024-03-02;
2024-03-03;
2024-03-04;-328.0
2024-03-05;1767.0
2024-03-06;2608.0
2024-03-07;842.0
2024-03-08;1664.0
2024-03-09;
2024-03-10;
2024-03-11;642.0
2024-03-12;917.0
2024-03-13;490.0
2024-03-14;1354.0
2024-03-15;1009.0
2024-03-16;
2024-03-17;
2024-03-18;814.0
2024-03-19;1212.0
2024-03-20;1033.0
2024-03-21;2390.0
2024-03-22;1542.0
2024-03-23;
2024-03-24;
2024-03-25;1415.0
2024-03-26;775.0
2024-03-27;1462.0
2024-03-28;729.0
2024-03-29;
2024-03-30;1346.0
2024-03-31;
2024-04-01;500.0
2024-04-02;1375.0
2024-04-03;1437.0
2024-04-04;1245.0
2024-04-05;2501.0
2024-04-06;
2024-04-07;
2024-04-08;-110.0
2024-04-09;1099.0
2024-04-10;2884.0
2024-04-11;1218.0
2024-04-12;1604.0
2024-04-13;
2024-04-14;
2024-04-15;475.0
2024-04-16;411.0
2024-04-17;2336.0
2024-04-18;533.0
2024-04-19;1888.0
2024-04-20;
2024-04-21;
2024-04-22;2219.0
2024-04-23;1211.0
2024-04-24;1468.0
2024-04-25;1054.0
2024-04-26;502.0
2024-04-27;
2024-04-28;
2024-04-29;796.0
2024-04-30;4042.999999999998
2024-05-01;
2024-05-02;1810.0
2024-05-03;2062.0
2024-05-04;925.0
2024-05-05;
2024-05-06;1864.0
2024-05-07;1852.0
2024-05-08;3717.0
2024-05-09;2154.0
2024-05-10;4042.999999999998
2024-05-11;
2024-05-12;
2024-05-13;711.0
2024-05-14;2795.0
2024-05-15;1401.0
2024-05-16;472.0
2024-05-17;1347.0
2024-05-18;
2024-05-19;
2024-05-20;1117.0
2024-05-21;3284.0
2024-05-22;1185.0
2024-05-23;844.0
2024-05-24;1656.0
2024-05-25;1201.0
2024-05-26;
2024-05-27;1295.0
2024-05-28;3250.0
2024-05-29;1327.0
2024-05-30;3061.0
2024-05-31;4042.999999999998
2024-06-01;3317.0
2024-06-02;
2024-06-03;4042.999999999998
2024-06-04;3244.0
2024-06-05;4042.999999999998
2024-06-06;4042.999999999998
2024-06-07;4042.999999999998
2024-06-08;
2024-06-09;
2024-06-10;426.0
2024-06-11;922.0
2024-06-12;489.0
2024-06-13;328.0
2024-06-14;-12.0
2024-06-15;
2024-06-16;
2024-06-17;196.0
2024-06-18;69.0
2024-06-19;88.0
2024-06-20;232.0
2024-06-21;-3.0
2024-06-22;
2024-06-23;
2024-06-24;417.0
2024-06-25;1529.0
2024-06-26;708.0
2024-06-27;376.0
2024-06-28;2089.0
2024-06-29;
2024-06-30;
2024-07-01;
2024-07-02;52.0
2024-07-03;584.0
2024-07-04;1069.0
2024-07-05;1275.0
2024-07-06;
2024-07-07;
2024-07-08;
2024-07-09;
2024-07-10;1012.0
2024-07-11;1540.0
2024-07-12;2333.0
2024-07-13;
2024-07-14;
2024-07-15;742.0
