metrica;valor;forecast_horizon
MAPE;9.15562249571738;30
MAE;0.0917336601327507;30
RMSE;0.1803923663247657;30
sMAPE;19.48958880305814;30
Bias;0.0340873195583804;30
R2;0.2454777088071563;30
forecast_horizon;30.0;30
MAPE;11.902309244432594;60
MAE;0.1192537581725759;60
RMSE;0.2345100762221954;60
sMAPE;25.336465443975584;60
Bias;0.0340873195583804;60
R2;0.1718343961650094;60
forecast_horizon;60.0;60
MAPE;14.648995993147809;90
MAE;0.1467738562124012;90
RMSE;0.2886277861196252;90
sMAPE;31.183342084893027;90
Bias;0.0340873195583804;90
R2;0.0981910835228625;90
forecast_horizon;90.0;90
