data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-06;39704.2;historico;0;39704.2
2025-09-07;3036.0;historico;0;42740.2
2025-09-08;11909.0;historico;0;54649.2
2025-09-09;3000.0;historico;0;57649.2
2025-09-10;518010.0;historico;0;575659.2
2025-09-11;19220.0;historico;0;594879.2
2025-09-12;482763.0;historico;0;1077642.2
2025-09-13;114710.0;historico;0;1192352.2
2025-09-14;27005.5;historico;0;1219357.7
2025-09-15;11499.74;historico;0;1230857.44
2025-09-16;10207.0;historico;0;1241064.44
2025-09-17;92095.0;historico;0;1333159.44
2025-09-18;10495.0;historico;0;1343654.44
2025-09-19;39405.0;historico;0;1383059.44
2025-09-20;222848.0;historico;0;1605907.44
2025-09-21;10438.0;historico;0;1616345.44
2025-09-22;18553.0;historico;0;1634898.44
2025-09-23;77171.9;historico;0;1712070.3399999999
2025-09-24;17694.0;historico;0;1729764.3399999999
2025-09-25;7259.0;historico;0;1737023.3399999999
2025-09-26;276865.0;historico;0;2013888.3399999999
2025-09-27;169166.25;historico;0;2183054.59
2025-09-28;25824.5;historico;0;2208879.09
2025-09-29;17586.92;historico;0;2226466.01
2025-09-30;108142.0;historico;0;2334608.01
2025-10-01;20150.0;historico;0;2354758.01
2025-10-02;0.0;historico;0;2354758.01
2025-10-03;23330.0;historico;0;2378088.01
2025-10-04;11500.0;historico;0;2389588.01
2025-10-05;5739.45;historico;0;2395327.46
2025-10-06;126465.0;historico;0;2521792.46
2025-10-07;37160.82485044872;previsao;30;2558953.284850449
2025-10-07;37160.82485044872;previsao;90;2558953.284850449
2025-10-07;37160.82485044872;previsao;60;2558953.284850449
2025-10-08;9840.72746948052;previsao;30;2568794.0123199294
2025-10-08;9840.72746948052;previsao;90;2568794.0123199294
2025-10-08;9840.72746948052;previsao;60;2568794.0123199294
2025-10-09;38807.46585605019;previsao;90;2607601.4781759796
2025-10-09;38807.46585605019;previsao;30;2607601.4781759796
2025-10-09;38807.46585605019;previsao;60;2607601.4781759796
2025-10-10;132173.48143800278;previsao;60;2739774.9596139826
2025-10-10;132173.48143800278;previsao;30;2739774.9596139826
2025-10-10;132173.48143800278;previsao;90;2739774.9596139826
2025-10-11;151697.80458042683;previsao;60;2891472.7641944094
2025-10-11;151697.80458042683;previsao;90;2891472.7641944094
2025-10-11;151697.80458042683;previsao;30;2891472.7641944094
2025-10-12;33756.38620531123;previsao;30;2925229.1503997208
2025-10-12;33756.38620531123;previsao;60;2925229.1503997208
2025-10-12;33756.38620531123;previsao;90;2925229.1503997208
2025-10-13;66277.4786246373;previsao;60;2991506.629024358
2025-10-13;66277.4786246373;previsao;90;2991506.629024358
2025-10-13;66277.4786246373;previsao;30;2991506.629024358
2025-10-14;42215.20734430327;previsao;60;3033721.8363686614
2025-10-14;42215.20734430327;previsao;30;3033721.8363686614
2025-10-14;42215.20734430327;previsao;90;3033721.8363686614
2025-10-15;19371.616780930417;previsao;90;3053093.4531495916
2025-10-15;19371.616780930417;previsao;60;3053093.4531495916
2025-10-15;19371.616780930417;previsao;30;3053093.4531495916
2025-10-16;72429.88403660603;previsao;90;3125523.3371861978
2025-10-16;72429.88403660603;previsao;30;3125523.3371861978
2025-10-16;72429.88403660603;previsao;60;3125523.3371861978
2025-10-17;68302.87760268156;previsao;30;3193826.2147888793
2025-10-17;68302.87760268156;previsao;90;3193826.2147888793
2025-10-17;68302.87760268156;previsao;60;3193826.2147888793
2025-10-18;75878.769018173;previsao;90;3269704.9838070525
2025-10-18;75878.769018173;previsao;30;3269704.9838070525
2025-10-18;75878.769018173;previsao;60;3269704.9838070525
2025-10-19;3937.437836939779;previsao;90;3273642.4216439924
2025-10-19;3937.437836939779;previsao;30;3273642.4216439924
2025-10-19;3937.437836939779;previsao;60;3273642.4216439924
2025-10-20;76655.58512364351;previsao;90;3350298.006767636
2025-10-20;76655.58512364351;previsao;60;3350298.006767636
2025-10-20;76655.58512364351;previsao;30;3350298.006767636
2025-10-21;42772.3029833379;previsao;30;3393070.309750974
2025-10-21;42772.3029833379;previsao;60;3393070.309750974
2025-10-21;42772.3029833379;previsao;90;3393070.309750974
2025-10-22;35619.06779831774;previsao;60;3428689.377549292
2025-10-22;35619.06779831774;previsao;30;3428689.377549292
2025-10-22;35619.06779831774;previsao;90;3428689.377549292
2025-10-23;27419.04783453892;previsao;30;3456108.425383831
2025-10-23;27419.04783453892;previsao;60;3456108.425383831
2025-10-23;27419.04783453892;previsao;90;3456108.425383831
2025-10-24;51074.52036412752;previsao;30;3507182.9457479585
2025-10-24;51074.52036412752;previsao;60;3507182.9457479585
2025-10-24;51074.52036412752;previsao;90;3507182.9457479585
2025-10-25;46529.066232461526;previsao;60;3553712.01198042
2025-10-25;46529.066232461526;previsao;90;3553712.01198042
2025-10-25;46529.066232461526;previsao;30;3553712.01198042
2025-10-26;7690.615305257888;previsao;30;3561402.627285678
2025-10-26;7690.615305257888;previsao;60;3561402.627285678
2025-10-26;7690.615305257888;previsao;90;3561402.627285678
2025-10-27;47582.2903059212;previsao;30;3608984.9175915993
2025-10-27;47582.2903059212;previsao;90;3608984.9175915993
2025-10-27;47582.2903059212;previsao;60;3608984.9175915993
2025-10-28;27972.27262017839;previsao;60;3636957.1902117776
2025-10-28;27972.27262017839;previsao;90;3636957.1902117776
2025-10-28;27972.27262017839;previsao;30;3636957.1902117776
2025-10-29;34524.512842048745;previsao;90;3671481.7030538265
2025-10-29;34524.512842048745;previsao;30;3671481.7030538265
2025-10-29;34524.512842048745;previsao;60;3671481.7030538265
2025-10-30;43210.36246546646;previsao;90;3714692.065519293
2025-10-30;43210.36246546646;previsao;60;3714692.065519293
2025-10-30;43210.36246546646;previsao;30;3714692.065519293
2025-10-31;42423.50889981816;previsao;90;3757115.574419111
2025-10-31;42423.50889981816;previsao;60;3757115.574419111
2025-10-31;42423.50889981816;previsao;30;3757115.574419111
2025-11-01;21089.76545397692;previsao;60;3778205.339873088
2025-11-01;21089.76545397692;previsao;30;3778205.339873088
2025-11-01;21089.76545397692;previsao;90;3778205.339873088
2025-11-02;7720.070379258094;previsao;30;3785925.410252346
2025-11-02;7720.070379258094;previsao;60;3785925.410252346
2025-11-02;7720.070379258094;previsao;90;3785925.410252346
2025-11-03;27839.102424922447;previsao;60;3813764.5126772686
2025-11-03;27839.102424922447;previsao;90;3813764.5126772686
2025-11-03;27839.102424922447;previsao;30;3813764.5126772686
2025-11-04;27085.90822476233;previsao;30;3840850.420902031
2025-11-04;27085.90822476233;previsao;90;3840850.420902031
2025-11-04;27085.90822476233;previsao;60;3840850.420902031
2025-11-05;20230.423009809645;previsao;90;3861080.8439118406
2025-11-05;20230.423009809645;previsao;60;3861080.8439118406
2025-11-05;20230.423009809645;previsao;30;3861080.8439118406
2025-11-06;41396.41034208832;previsao;90;3902477.254253929
2025-11-06;41396.41034208832;previsao;60;3902477.254253929
2025-11-07;75457.44536940687;previsao;90;3977934.699623336
2025-11-07;75457.44536940687;previsao;60;3977934.699623336
2025-11-08;142665.34619387245;previsao;60;4120600.0458172085
2025-11-08;142665.34619387245;previsao;90;4120600.0458172085
2025-11-09;15589.81046441472;previsao;60;4136189.8562816232
2025-11-09;15589.81046441472;previsao;90;4136189.8562816232
2025-11-10;85501.63085679103;previsao;90;4221691.487138414
2025-11-10;85501.63085679103;previsao;60;4221691.487138414
2025-11-11;57135.42934409807;previsao;90;4278826.916482512
2025-11-11;57135.42934409807;previsao;60;4278826.916482512
2025-11-12;41565.12389061733;previsao;90;4320392.040373129
2025-11-12;41565.12389061733;previsao;60;4320392.040373129
2025-11-13;52056.39149678701;previsao;90;4372448.431869916
2025-11-13;52056.39149678701;previsao;60;4372448.431869916
2025-11-14;44508.19513626477;previsao;60;4416956.627006181
2025-11-14;44508.19513626477;previsao;90;4416956.627006181
2025-11-15;119711.09165166192;previsao;90;4536667.718657843
2025-11-15;119711.09165166192;previsao;60;4536667.718657843
2025-11-16;11788.915370712944;previsao;60;4548456.634028556
2025-11-16;11788.915370712944;previsao;90;4548456.634028556
2025-11-17;66855.83222660206;previsao;60;4615312.466255158
2025-11-17;66855.83222660206;previsao;90;4615312.466255158
2025-11-18;55408.78648897934;previsao;90;4670721.252744137
2025-11-18;55408.78648897934;previsao;60;4670721.252744137
2025-11-19;75589.21906425807;previsao;60;4746310.471808395
2025-11-19;75589.21906425807;previsao;90;4746310.471808395
2025-11-20;16730.9894240727;previsao;90;4763041.4612324685
2025-11-20;16730.9894240727;previsao;60;4763041.4612324685
2025-11-21;76238.50053014583;previsao;60;4839279.961762615
2025-11-21;76238.50053014583;previsao;90;4839279.961762615
2025-11-22;37681.1655356721;previsao;90;4876961.127298286
2025-11-22;37681.1655356721;previsao;60;4876961.127298286
2025-11-23;13551.700997396409;previsao;90;4890512.828295683
2025-11-23;13551.700997396409;previsao;60;4890512.828295683
2025-11-24;105872.34150130575;previsao;90;4996385.169796988
2025-11-24;105872.34150130575;previsao;60;4996385.169796988
2025-11-25;52378.934122680505;previsao;60;5048764.103919669
2025-11-25;52378.934122680505;previsao;90;5048764.103919669
2025-11-26;54711.102463273055;previsao;60;5103475.206382942
2025-11-26;54711.102463273055;previsao;90;5103475.206382942
2025-11-27;93758.4705792406;previsao;60;5197233.676962183
2025-11-27;93758.4705792406;previsao;90;5197233.676962183
2025-11-28;58039.77725310137;previsao;60;5255273.454215284
2025-11-28;58039.77725310137;previsao;90;5255273.454215284
2025-11-29;42414.25799419123;previsao;60;5297687.712209475
2025-11-29;42414.25799419123;previsao;90;5297687.712209475
2025-11-30;9988.819703448407;previsao;60;5307676.531912924
2025-11-30;9988.819703448407;previsao;90;5307676.531912924
2025-12-01;22935.530393501744;previsao;90;5330612.0623064255
2025-12-01;22935.530393501744;previsao;60;5330612.0623064255
2025-12-02;25329.905286024063;previsao;90;5355941.96759245
2025-12-02;25329.905286024063;previsao;60;5355941.96759245
2025-12-03;61620.87045530258;previsao;60;5417562.838047752
2025-12-03;61620.87045530258;previsao;90;5417562.838047752
2025-12-04;35879.8285584029;previsao;60;5453442.666606155
2025-12-04;35879.8285584029;previsao;90;5453442.666606155
2025-12-05;65765.95538444135;previsao;60;5519208.621990597
2025-12-05;65765.95538444135;previsao;90;5519208.621990597
2025-12-06;59915.7897705737;previsao;90;5579124.41176117
2025-12-07;17569.105905406053;previsao;90;5596693.517666576
2025-12-08;92830.45415853483;previsao;90;5689523.971825112
2025-12-09;35201.993708554386;previsao;90;5724725.965533666
2025-12-10;131126.8600075506;previsao;90;5855852.825541217
2025-12-11;28008.22568317595;previsao;90;5883861.051224393
2025-12-12;128772.43663292116;previsao;90;6012633.487857314
2025-12-13;167969.4210697772;previsao;90;6180602.908927091
2025-12-14;19356.843462920733;previsao;90;6199959.752390012
2025-12-15;51553.238840720456;previsao;90;6251512.991230733
