data;vendas_forecast;Empresa;Database
2025-05-05;133056.78307574918;I3C;014CST_ERP_BI
2025-05-06;246594.02745251954;I3C;014CST_ERP_BI
2025-05-07;65107.185417890876;I3C;014CST_ERP_BI
2025-05-08;74889.10424952868;I3C;014CST_ERP_BI
2025-05-09;76764.05331632947;I3C;014CST_ERP_BI
2025-05-10;58356.71283864579;I3C;014CST_ERP_BI
2025-05-11;27393.978875423134;I3C;014CST_ERP_BI
2025-05-12;82590.15597495475;I3C;014CST_ERP_BI
2025-05-13;72188.32695838876;I3C;014CST_ERP_BI
2025-05-14;22368.614444996332;I3C;014CST_ERP_BI
2025-05-15;24417.721783470068;I3C;014CST_ERP_BI
2025-05-16;67744.69137624801;I3C;014CST_ERP_BI
2025-05-17;45626.78432607536;I3C;014CST_ERP_BI
2025-05-18;19208.379152428373;I3C;014CST_ERP_BI
2025-05-19;15090.291508951354;I3C;014CST_ERP_BI
2025-05-20;38246.63649484586;I3C;014CST_ERP_BI
2025-05-21;8388.891303675246;I3C;014CST_ERP_BI
2025-05-22;25073.938219963482;I3C;014CST_ERP_BI
2025-05-23;48522.84156199727;I3C;014CST_ERP_BI
2025-05-24;7903.478293196133;I3C;014CST_ERP_BI
2025-05-25;34391.40873944062;I3C;014CST_ERP_BI
2025-05-26;73023.40309982494;I3C;014CST_ERP_BI
2025-05-27;113691.12345279791;I3C;014CST_ERP_BI
2025-05-28;8509.667117879897;I3C;014CST_ERP_BI
2025-05-29;10652.164060535419;I3C;014CST_ERP_BI
2025-05-30;20172.954136958557;I3C;014CST_ERP_BI
2025-05-31;15107.37018313372;I3C;014CST_ERP_BI
2025-06-01;164585.21488295117;I3C;014CST_ERP_BI
2025-06-02;91476.82744635035;I3C;014CST_ERP_BI
2025-06-03;36850.68876218377;I3C;014CST_ERP_BI
