metrica;valor;forecast_horizon
MAPE;23.45209950699193;30
MAE;0.2940904059879981;30
RMSE;0.353649773550639;30
sMAPE;82.33089315954744;30
Bias;0.090399131809552;30
R2;-0.0699082252216132;30
forecast_horizon;30.0;30
MAPE;30.48772935908952;60
MAE;0.3823175277843976;60
RMSE;0.4597447056158307;60
sMAPE;107.03016110741169;60
Bias;0.090399131809552;60
R2;0.0;60
forecast_horizon;60.0;60
MAPE;37.5233592111871;90
MAE;0.470544649580797;90
RMSE;0.5658396376810224;90
sMAPE;131.72942905527592;90
Bias;0.090399131809552;90
R2;0.0;90
forecast_horizon;90.0;90
