data;vendas_previstas;forecast_horizon
2025-10-08;8178.903989510186;30
2025-10-09;9256.51532772363;30
2025-10-10;9256.51532772363;30
2025-10-11;9256.51532772363;30
2025-10-12;9256.51532772363;30
2025-10-13;9256.51532772363;30
2025-10-14;8178.903989510186;30
2025-10-15;7328.516778044659;30
2025-10-16;6536.524409976676;30
2025-10-17;6536.524409976676;30
2025-10-18;6536.524409976676;30
2025-10-19;6536.524409976676;30
2025-10-20;5611.549870100884;30
2025-10-21;5611.549870100884;30
2025-10-22;5611.549870100884;30
2025-10-23;4921.634697590276;30
2025-10-24;4921.634697590276;30
2025-10-25;4921.634697590276;30
2025-10-26;4416.212501430118;30
2025-10-27;4240.815040311591;30
2025-10-28;3763.813104986453;30
2025-10-29;3050.340705010088;30
2025-10-30;3763.813104986453;30
2025-10-31;3763.813104986453;30
2025-11-01;3763.813104986453;30
2025-11-02;3763.813104986453;30
2025-11-03;3763.813104986453;30
2025-11-04;3763.813104986453;30
2025-11-05;3763.813104986453;30
2025-11-06;4234.203423430457;30
2025-10-08;8178.903989510186;60
2025-10-09;9256.51532772363;60
2025-10-10;9256.51532772363;60
2025-10-11;9256.51532772363;60
2025-10-12;9256.51532772363;60
2025-10-13;9256.51532772363;60
2025-10-14;8178.903989510186;60
2025-10-15;7328.516778044659;60
2025-10-16;6536.524409976676;60
2025-10-17;6536.524409976676;60
2025-10-18;6536.524409976676;60
2025-10-19;6536.524409976676;60
2025-10-20;5611.549870100884;60
2025-10-21;5611.549870100884;60
2025-10-22;5611.549870100884;60
2025-10-23;4921.634697590276;60
2025-10-24;4921.634697590276;60
2025-10-25;4921.634697590276;60
2025-10-26;4416.212501430118;60
2025-10-27;4240.815040311591;60
2025-10-28;3763.813104986453;60
2025-10-29;3050.340705010088;60
2025-10-30;3763.813104986453;60
2025-10-31;3763.813104986453;60
2025-11-01;3763.813104986453;60
2025-11-02;3763.813104986453;60
2025-11-03;3763.813104986453;60
2025-11-04;3763.813104986453;60
2025-11-05;3763.813104986453;60
2025-11-06;4234.203423430457;60
2025-11-07;4234.203423430457;60
2025-11-08;4234.203423430457;60
2025-11-09;4234.203423430457;60
2025-11-10;4234.203423430457;60
2025-11-11;4234.203423430457;60
2025-11-12;4295.775109386298;60
2025-11-13;4234.203423430457;60
2025-11-14;4234.203423430457;60
2025-11-15;4234.203423430457;60
2025-11-16;4234.203423430457;60
2025-11-17;3763.813104986453;60
2025-11-18;3050.340705010088;60
2025-11-19;2627.687269760403;60
2025-11-20;3050.340705010088;60
2025-11-21;3050.340705010088;60
2025-11-22;3050.340705010088;60
2025-11-23;3496.605860055647;60
2025-11-24;3496.605860055647;60
2025-11-25;3496.605860055647;60
2025-11-26;3496.605860055647;60
2025-11-27;3496.605860055647;60
2025-11-28;3496.605860055647;60
2025-11-29;3496.605860055647;60
2025-11-30;3496.605860055647;60
2025-12-01;3496.605860055647;60
2025-12-02;3496.605860055647;60
2025-12-03;3496.605860055647;60
2025-12-04;3050.340705010088;60
2025-12-05;3050.340705010088;60
2025-12-06;3050.340705010088;60
2025-10-08;8178.903989510186;90
2025-10-09;9256.51532772363;90
2025-10-10;9256.51532772363;90
2025-10-11;9256.51532772363;90
2025-10-12;9256.51532772363;90
2025-10-13;9256.51532772363;90
2025-10-14;8178.903989510186;90
2025-10-15;7328.516778044659;90
2025-10-16;6536.524409976676;90
2025-10-17;6536.524409976676;90
2025-10-18;6536.524409976676;90
2025-10-19;6536.524409976676;90
2025-10-20;5611.549870100884;90
2025-10-21;5611.549870100884;90
2025-10-22;5611.549870100884;90
2025-10-23;4921.634697590276;90
2025-10-24;4921.634697590276;90
2025-10-25;4921.634697590276;90
2025-10-26;4416.212501430118;90
2025-10-27;4240.815040311591;90
2025-10-28;3763.813104986453;90
2025-10-29;3050.340705010088;90
2025-10-30;3763.813104986453;90
2025-10-31;3763.813104986453;90
2025-11-01;3763.813104986453;90
2025-11-02;3763.813104986453;90
2025-11-03;3763.813104986453;90
2025-11-04;3763.813104986453;90
2025-11-05;3763.813104986453;90
2025-11-06;4234.203423430457;90
2025-11-07;4234.203423430457;90
2025-11-08;4234.203423430457;90
2025-11-09;4234.203423430457;90
2025-11-10;4234.203423430457;90
2025-11-11;4234.203423430457;90
2025-11-12;4295.775109386298;90
2025-11-13;4234.203423430457;90
2025-11-14;4234.203423430457;90
2025-11-15;4234.203423430457;90
2025-11-16;4234.203423430457;90
2025-11-17;3763.813104986453;90
2025-11-18;3050.340705010088;90
2025-11-19;2627.687269760403;90
2025-11-20;3050.340705010088;90
2025-11-21;3050.340705010088;90
2025-11-22;3050.340705010088;90
2025-11-23;3496.605860055647;90
2025-11-24;3496.605860055647;90
2025-11-25;3496.605860055647;90
2025-11-26;3496.605860055647;90
2025-11-27;3496.605860055647;90
2025-11-28;3496.605860055647;90
2025-11-29;3496.605860055647;90
2025-11-30;3496.605860055647;90
2025-12-01;3496.605860055647;90
2025-12-02;3496.605860055647;90
2025-12-03;3496.605860055647;90
2025-12-04;3050.340705010088;90
2025-12-05;3050.340705010088;90
2025-12-06;3050.340705010088;90
2025-12-07;2627.687269760403;90
2025-12-08;2627.687269760403;90
2025-12-09;2627.687269760403;90
2025-12-10;2627.687269760403;90
2025-12-11;2627.687269760403;90
2025-12-12;2627.687269760403;90
2025-12-13;2627.687269760403;90
2025-12-14;2627.687269760403;90
2025-12-15;2627.687269760403;90
2025-12-16;2627.687269760403;90
2025-12-17;3050.340705010088;90
2025-12-18;3050.340705010088;90
2025-12-19;3050.340705010088;90
2025-12-20;3050.340705010088;90
2025-12-21;3050.340705010088;90
2025-12-22;3050.340705010088;90
2025-12-23;3050.340705010088;90
2025-12-24;3050.340705010088;90
2025-12-25;3496.605860055647;90
2025-12-26;3496.605860055647;90
2025-12-27;3496.605860055647;90
2025-12-28;3694.259624899277;90
2025-12-29;3694.259624899277;90
2025-12-30;3694.259624899277;90
2025-12-31;3976.5635597848823;90
2026-01-01;3976.5635597848823;90
2026-01-02;3976.5635597848823;90
2026-01-03;3976.5635597848823;90
2026-01-04;3976.5635597848823;90
2026-01-05;3976.5635597848823;90
