data;vendas_historicas
2025-01-10;60.0
2025-01-11;0.0
2025-01-12;0.0
2025-01-13;0.0
2025-01-14;215.0
2025-01-15;0.0
2025-01-16;0.0
2025-01-17;280.0
2025-01-18;0.0
2025-01-19;0.0
2025-01-20;12385.0
2025-01-21;0.0
2025-01-22;990.0
2025-01-23;110.0
2025-01-24;0.0
2025-01-25;0.0
2025-01-26;0.0
2025-01-27;0.0
2025-01-28;0.0
2025-01-29;95.1
2025-01-30;186372.9
2025-01-31;3311.25
2025-02-01;0.0
2025-02-02;0.0
2025-02-03;20.0
2025-02-04;37549.52
2025-02-05;0.0
2025-02-06;13389.3
2025-02-07;16624.08
2025-02-08;0.0
2025-02-09;0.0
2025-02-10;10725.11
2025-02-11;590030.88
2025-02-12;7156868.13
2025-02-13;6008116.63
2025-02-14;7244.95
2025-02-15;0.0
2025-02-16;0.0
2025-02-17;3019.56
2025-02-18;79.05
2025-02-19;97129.11
2025-02-20;84987.29
2025-02-21;5346.31
2025-02-22;0.0
2025-02-23;0.0
2025-02-24;19535.8
2025-02-25;102580.61
2025-02-26;80.0
2025-02-27;959.4
2025-02-28;2527.18
2025-03-01;0.0
2025-03-02;0.0
2025-03-03;0.0
2025-03-04;0.0
2025-03-05;5794.14
2025-03-06;30896.87
2025-03-07;5399.21
2025-03-08;0.0
2025-03-09;0.0
2025-03-10;14454.63
2025-03-11;80041.2
2025-03-12;31974.74
2025-03-13;51054.08
2025-03-14;140713.41
2025-03-15;0.0
2025-03-16;0.0
2025-03-17;5300.19
2025-03-18;44745.14
2025-03-19;0.0
2025-03-20;3638.46
2025-03-21;44186.65
2025-03-22;0.0
2025-03-23;0.0
2025-03-24;117755.87
2025-03-25;51401.03
2025-03-26;86334.38
2025-03-27;141920.23
2025-03-28;6.6
2025-03-29;0.0
2025-03-30;0.0
2025-03-31;961.76
2025-04-01;308029.54
2025-04-02;105455.66
2025-04-03;200908.32
2025-04-04;2097.21
2025-04-05;0.0
2025-04-06;0.0
2025-04-07;216814.38
2025-04-08;127383.16
2025-04-09;189824.74
2025-04-10;2728.25
2025-04-11;116629.9
2025-04-12;0.0
2025-04-13;0.0
2025-04-14;55110.11
2025-04-15;96158.4
2025-04-16;81767.23
2025-04-17;64112.98
2025-04-18;0.0
2025-04-19;0.0
2025-04-20;0.0
2025-04-21;0.0
2025-04-22;182117.78
2025-04-23;86632.09
2025-04-24;169166.43
2025-04-25;41806.3
2025-04-26;0.0
2025-04-27;0.0
2025-04-28;105551.14
2025-04-29;128257.51
2025-04-30;81895.42
2025-05-01;0.0
2025-05-02;121097.65
2025-05-03;0.0
2025-05-04;0.0
2025-05-05;205824.32
2025-05-06;175141.81
2025-05-07;31561.11
2025-05-08;85642.17
2025-05-09;44310.9
2025-05-10;0.0
2025-05-11;0.0
2025-05-12;20826.94
2025-05-13;82929.28
