data;vendas_forecast;Empresa;Database
2025-08-06;16143.761376608943;001;014CST_IJC_BI
2025-08-07;3010.6264053972513;001;014CST_IJC_BI
2025-08-08;3749.468037171264;001;014CST_IJC_BI
2025-08-09;9054.785372873426;001;014CST_IJC_BI
2025-08-10;14192.204918866762;001;014CST_IJC_BI
2025-08-11;10798.757239640543;001;014CST_IJC_BI
2025-08-12;15533.917234254674;001;014CST_IJC_BI
2025-08-13;123738.97701537231;001;014CST_IJC_BI
2025-08-14;226586.92217627214;001;014CST_IJC_BI
2025-08-15;61633.55564019875;001;014CST_IJC_BI
2025-08-16;17874.797865876848;001;014CST_IJC_BI
2025-08-17;4543.568603608176;001;014CST_IJC_BI
2025-08-18;17806.695329586837;001;014CST_IJC_BI
2025-08-19;13703.695948523013;001;014CST_IJC_BI
2025-08-20;14600.840642690384;001;014CST_IJC_BI
2025-08-21;8183.696712860635;001;014CST_IJC_BI
2025-08-22;30683.159539358665;001;014CST_IJC_BI
2025-08-23;14525.635917064332;001;014CST_IJC_BI
2025-08-24;52839.376170599615;001;014CST_IJC_BI
2025-08-25;57635.80463152922;001;014CST_IJC_BI
2025-08-26;89819.03639062408;001;014CST_IJC_BI
2025-08-27;78254.91019556636;001;014CST_IJC_BI
2025-08-28;4854.796914002881;001;014CST_IJC_BI
2025-08-29;1373.2614687328462;001;014CST_IJC_BI
2025-08-30;2667.007745868958;001;014CST_IJC_BI
2025-08-31;2024.0859168993313;001;014CST_IJC_BI
2025-09-01;14210.929840778783;001;014CST_IJC_BI
2025-09-02;20507.363051328353;001;014CST_IJC_BI
2025-09-03;5919.502189545467;001;014CST_IJC_BI
2025-09-04;5785.112878296553;001;014CST_IJC_BI
