metrica;valor;forecast_horizon
MAPE;8.062711429530296;30
MAE;0.0681756749015342;30
RMSE;0.1171213307187425;30
sMAPE;10.42570160147379;30
Bias;-0.0008740728078912;30
R2;0.3513630875635113;30
forecast_horizon;30.0;30
MAPE;10.481524858389385;60
MAE;0.0886283773719945;60
RMSE;0.1522577299343653;60
sMAPE;13.553412081915928;60
Bias;-0.0008740728078912;60
R2;0.2459541612944579;60
forecast_horizon;60.0;60
MAPE;12.900338287248474;90
MAE;0.1090810798424548;90
RMSE;0.1873941291499881;90
sMAPE;16.681122562358066;90
Bias;-0.0008740728078912;90
R2;0.1405452350254045;90
forecast_horizon;90.0;90
