data;vendas_previstas;forecast_horizon
2025-10-04;78709.3289314906;30
2025-10-05;22361.236382219176;30
2025-10-06;99439.89432830668;30
2025-10-07;132573.82125702503;30
2025-10-08;190125.30116625212;30
2025-10-09;221907.0474265111;30
2025-10-10;229098.07669072496;30
2025-10-11;145963.07174473838;30
2025-10-12;42433.42535533276;30
2025-10-13;59617.116352211335;30
2025-10-14;199669.84248838216;30
2025-10-15;83454.95600986201;30
2025-10-16;129633.72940137076;30
2025-10-17;184981.83220998538;30
2025-10-18;80484.85676992993;30
2025-10-19;12425.921696029243;30
2025-10-20;112130.31600101314;30
2025-10-21;72317.45860535152;30
2025-10-22;316612.9476841914;30
2025-10-23;135401.0331119767;30
2025-10-24;105886.51450621939;30
2025-10-25;86999.30898828938;30
2025-10-26;10934.373676545012;30
2025-10-27;147354.47181402394;30
2025-10-28;217371.33243876504;30
2025-10-29;111958.44154963721;30
2025-10-30;65897.25770704042;30
2025-10-31;165978.54139942813;30
2025-11-01;135481.52025903534;30
2025-11-02;11564.091725396742;30
