data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-03;729964.5;historico;0;729964.5
2025-09-04;233374.48;historico;0;963338.98
2025-09-05;29887.1;historico;0;993226.08
2025-09-06;36650.0;historico;0;1029876.08
2025-09-07;2225.0;historico;0;1032101.08
2025-09-08;856179.47;historico;0;1888280.5499999998
2025-09-09;311951.5;historico;0;2200232.05
2025-09-10;97498.07;historico;0;2297730.1199999996
2025-09-11;408087.13;historico;0;2705817.2499999995
2025-09-12;96152.64;historico;0;2801969.8899999997
2025-09-13;48457.0;historico;0;2850426.8899999997
2025-09-14;23250.0;historico;0;2873676.8899999997
2025-09-15;9660.0;historico;0;2883336.8899999997
2025-09-16;125282.9;historico;0;3008619.7899999996
2025-09-17;87696.0;historico;0;3096315.7899999996
2025-09-18;701114.3;historico;0;3797430.09
2025-09-19;113604.9;historico;0;3911034.9899999998
2025-09-20;17048.5;historico;0;3928083.4899999998
2025-09-21;0.0;historico;0;3928083.4899999998
2025-09-22;14950.0;historico;0;3943033.4899999998
2025-09-23;355559.0;historico;0;4298592.49
2025-09-24;532170.94;historico;0;4830763.43
2025-09-25;677511.69;historico;0;5508275.119999999
2025-09-26;185625.6;historico;0;5693900.719999999
2025-09-27;433628.7;historico;0;6127529.419999999
2025-09-28;13425.0;historico;0;6140954.419999999
2025-09-29;74750.11;historico;0;6215704.529999999
2025-09-30;286860.1;historico;0;6502564.629999999
2025-10-01;481837.35;historico;0;6984401.979999999
2025-10-02;208416.85;historico;0;7192818.829999998
2025-10-03;232411.4;historico;0;7425230.229999999
2025-10-04;78709.3289314906;previsao;30;7503939.5589314895
2025-10-04;78709.3289314906;previsao;90;7503939.5589314895
2025-10-04;78709.3289314906;previsao;60;7503939.5589314895
2025-10-05;22361.236382219176;previsao;30;7526300.7953137085
2025-10-05;22361.236382219176;previsao;90;7526300.7953137085
2025-10-05;22361.236382219176;previsao;60;7526300.7953137085
2025-10-06;99439.89432830668;previsao;90;7625740.689642015
2025-10-06;99439.89432830668;previsao;30;7625740.689642015
2025-10-06;99439.89432830668;previsao;60;7625740.689642015
2025-10-07;132573.82125702503;previsao;60;7758314.51089904
2025-10-07;132573.82125702503;previsao;30;7758314.51089904
2025-10-07;132573.82125702503;previsao;90;7758314.51089904
2025-10-08;190125.3011662521;previsao;60;7948439.812065292
2025-10-08;190125.3011662521;previsao;90;7948439.812065292
2025-10-08;190125.3011662521;previsao;30;7948439.812065292
2025-10-09;221907.0474265111;previsao;30;8170346.859491804
2025-10-09;221907.0474265111;previsao;60;8170346.859491804
2025-10-09;221907.0474265111;previsao;90;8170346.859491804
2025-10-10;229098.07669072496;previsao;60;8399444.936182529
2025-10-10;229098.07669072496;previsao;90;8399444.936182529
2025-10-10;229098.07669072496;previsao;30;8399444.936182529
2025-10-11;145963.07174473838;previsao;60;8545408.007927267
2025-10-11;145963.07174473838;previsao;30;8545408.007927267
2025-10-11;145963.07174473838;previsao;90;8545408.007927267
2025-10-12;42433.42535533276;previsao;90;8587841.433282599
2025-10-12;42433.42535533276;previsao;60;8587841.433282599
2025-10-12;42433.42535533276;previsao;30;8587841.433282599
2025-10-13;59617.116352211335;previsao;90;8647458.54963481
2025-10-13;59617.116352211335;previsao;30;8647458.54963481
2025-10-13;59617.116352211335;previsao;60;8647458.54963481
2025-10-14;199669.84248838216;previsao;30;8847128.392123193
2025-10-14;199669.84248838216;previsao;90;8847128.392123193
2025-10-14;199669.84248838216;previsao;60;8847128.392123193
2025-10-15;83454.95600986201;previsao;90;8930583.348133054
2025-10-15;83454.95600986201;previsao;30;8930583.348133054
2025-10-15;83454.95600986201;previsao;60;8930583.348133054
2025-10-16;129633.72940137076;previsao;90;9060217.077534424
2025-10-16;129633.72940137076;previsao;30;9060217.077534424
2025-10-16;129633.72940137076;previsao;60;9060217.077534424
2025-10-17;184981.83220998535;previsao;90;9245198.90974441
2025-10-17;184981.83220998535;previsao;60;9245198.90974441
2025-10-17;184981.83220998535;previsao;30;9245198.90974441
2025-10-18;80484.85676992993;previsao;30;9325683.76651434
2025-10-18;80484.85676992993;previsao;60;9325683.76651434
2025-10-18;80484.85676992993;previsao;90;9325683.76651434
2025-10-19;12425.921696029243;previsao;60;9338109.68821037
2025-10-19;12425.921696029243;previsao;30;9338109.68821037
2025-10-19;12425.921696029243;previsao;90;9338109.68821037
2025-10-20;112130.31600101314;previsao;30;9450240.004211383
2025-10-20;112130.31600101314;previsao;60;9450240.004211383
2025-10-20;112130.31600101314;previsao;90;9450240.004211383
2025-10-21;72317.45860535152;previsao;30;9522557.462816734
