data;vendas_historicas
2023-09-29;70861.6
2023-09-30;31294.2
2023-10-01;2935.9
2023-10-02;371240.0
2023-10-03;58222.2
2023-10-04;4981.2
2023-10-05;84335.4
2023-10-06;22870.1
2023-10-07;15006.1
2023-10-08;797.2
2023-10-09;120292.6
2023-10-10;51379.48
2023-10-11;5420.2
2023-10-12;8055.0
2023-10-13;92272.4
2023-10-14;7691.3
2023-10-15;675.6
2023-10-16;476174.5
2023-10-17;10345.2
2023-10-18;84705.96
2023-10-19;42196.92
2023-10-20;161161.19
2023-10-21;5493.9
2023-10-22;2926.71
2023-10-23;158561.7
2023-10-24;66638.1
2023-10-25;11140.99
2023-10-26;100793.25
2023-10-27;28479.5
2023-10-28;92940.5
2023-10-29;1079.5
2023-10-30;479095.7
2023-10-31;126684.6
2023-11-01;310966.9
2023-11-02;89477.2
2023-11-03;8987.7
2023-11-04;112754.4
2023-11-05;5711.9
2023-11-06;9754.6
2023-11-07;224380.76
2023-11-08;137232.5
2023-11-09;14502.5
2023-11-10;52648.6
2023-11-11;18166.2
2023-11-12;24585.0
2023-11-13;117150.4
2023-11-14;45410.0
2023-11-15;0.0
2023-11-16;301303.55
2023-11-17;200049.85
2023-11-18;35269.65
2023-11-19;11707.75
2023-11-20;238833.8
2023-11-21;220286.85
2023-11-22;23645.3
2023-11-23;18685.3
2023-11-24;21394.0
2023-11-25;32131.75
2023-11-26;20352.5
2023-11-27;130530.78
2023-11-28;274048.0
2023-11-29;36321.1
2023-11-30;179915.6
2023-12-01;171840.8
2023-12-02;1494.8
2023-12-03;10252.5
2023-12-04;427236.0
2023-12-05;61639.4
2023-12-06;36862.3
2023-12-07;97283.9
2023-12-08;151039.5
2023-12-09;329401.5
2023-12-10;2220.0
2023-12-11;151441.1
2023-12-12;137979.5
2023-12-13;5841.7
2023-12-14;715321.02
2023-12-15;246683.1
2023-12-16;105995.1
2023-12-17;10936.0
2023-12-18;608003.14
2023-12-19;851392.36
2023-12-20;96944.1
2023-12-21;44107.74
2023-12-22;559841.41
2023-12-23;816114.8
2023-12-24;152777.9
2023-12-25;0.0
2023-12-26;537276.7
2023-12-27;210315.76
2023-12-28;13388.5
2023-12-29;516465.7
2023-12-30;2362.0
2023-12-31;16788.0
2024-01-01;0.0
2024-01-02;48240.0
2024-01-03;19633.4
2024-01-04;287736.2
2024-01-05;87409.3
2024-01-06;15359.95
2024-01-07;10578.0
2024-01-08;7147.9
2024-01-09;14029.52
2024-01-10;2530.0
2024-01-11;10955.7
2024-01-12;270570.06
2024-01-13;11266.6
2024-01-14;23261.4
2024-01-15;3813.0
2024-01-16;113146.85
2024-01-17;147882.96
2024-01-18;305253.0
2024-01-19;82735.21
2024-01-20;12702.5
2024-01-21;51862.6
2024-01-22;6880.0
2024-01-23;5285.7
2024-01-24;73633.2
2024-01-25;339192.05
2024-01-26;16927.0
2024-01-27;3460.0
2024-01-28;17143.0
2024-01-29;314586.3
2024-01-30;171907.44
2024-01-31;366071.2
2024-02-01;140671.5
2024-02-02;71270.9
2024-02-03;142750.8
2024-02-04;135.0
2024-02-05;865090.9
2024-02-06;80090.0
2024-02-07;8400.0
2024-02-08;592048.4
2024-02-09;92873.64
2024-02-10;116766.6
2024-02-11;5500.5
2024-02-12;27481.4
2024-02-13;0.0
2024-02-14;114932.48
2024-02-15;111172.5
2024-02-16;30882.0
2024-02-17;14314.55
2024-02-18;3485.0
2024-02-19;12339.6
2024-02-20;31891.6
2024-02-21;9467.7
2024-02-22;65641.0
2024-02-23;397900.0
2024-02-24;25308.3
2024-02-25;3021.95
2024-02-26;9204.3
2024-02-27;335173.1
2024-02-28;31986.4
2024-02-29;12783.1
2024-03-01;90175.4
2024-03-02;143609.1
2024-03-03;2315.0
2024-03-04;5008.0
2024-03-05;154487.9
2024-03-06;58222.6
2024-03-07;1165248.6
2024-03-08;135922.95
2024-03-09;41449.55
2024-03-10;24512.9
2024-03-11;108700.0
2024-03-12;1445952.2
2024-03-13;4285.4
2024-03-14;7747.7
2024-03-15;5874.4
2024-03-16;17684.3
2024-03-17;87439.6
2024-03-18;42112.0
2024-03-19;14756.4
2024-03-20;165641.25
2024-03-21;77702.18
