empresa;metrica;valor
002;MAPE;21.54034412725325
002;MAE;0.10447377603852191
002;RMSE;0.1494234754686287
002;sMAPE;18.789016678383284
002;Bias;0.014680216379774144
002;R2;-0.1484196663238757
002;forecast_horizon;30.0
005;MAPE;23.853981311041224
005;MAE;0.15105105049447698
005;RMSE;0.1865471828528579
005;sMAPE;23.095987825711262
005;Bias;-0.010918350025400854
005;R2;-0.21004778990116413
005;forecast_horizon;30.0
008;MAPE;28.03190660062819
008;MAE;0.1709070402457435
008;RMSE;0.19550589711690747
008;sMAPE;26.157700014156315
008;Bias;-0.00614326280798797
008;R2;-0.44950726858432266
008;forecast_horizon;30.0
