data;vendas_forecast;Empresa;Database
2025-10-04;118628.1913227819;005;014PR_ERP_BI
2025-10-05;65761.72637194791;005;014PR_ERP_BI
2025-10-06;23445.59124082172;005;014PR_ERP_BI
2025-10-07;15751.98696568854;005;014PR_ERP_BI
2025-10-08;16781.791884869173;005;014PR_ERP_BI
2025-10-09;29023.19510575287;005;014PR_ERP_BI
2025-10-10;47156.64146121984;005;014PR_ERP_BI
2025-10-11;56078.85432929922;005;014PR_ERP_BI
2025-10-12;59437.786086874024;005;014PR_ERP_BI
2025-10-13;33962.05925228927;005;014PR_ERP_BI
2025-10-14;57168.66714058819;005;014PR_ERP_BI
2025-10-15;26805.33112901805;005;014PR_ERP_BI
2025-10-16;63075.779036592874;005;014PR_ERP_BI
2025-10-17;24106.427815844043;005;014PR_ERP_BI
2025-10-18;13154.647259032155;005;014PR_ERP_BI
2025-10-19;8298.986805049379;005;014PR_ERP_BI
2025-10-20;28353.197070326794;005;014PR_ERP_BI
2025-10-21;18744.062611911748;005;014PR_ERP_BI
2025-10-22;46595.31123047444;005;014PR_ERP_BI
2025-10-23;37742.48867377049;005;014PR_ERP_BI
2025-10-24;83605.38360939804;005;014PR_ERP_BI
2025-10-25;35530.347529333485;005;014PR_ERP_BI
2025-10-26;15169.066263893676;005;014PR_ERP_BI
2025-10-27;41153.71288501934;005;014PR_ERP_BI
2025-10-28;40281.86390126339;005;014PR_ERP_BI
2025-10-29;19340.104031197203;005;014PR_ERP_BI
2025-10-30;24097.929988922442;005;014PR_ERP_BI
2025-10-31;308150.32547895063;005;014PR_ERP_BI
2025-11-01;92575.1834960932;005;014PR_ERP_BI
2025-11-02;36064.771599948515;005;014PR_ERP_BI
2025-10-04;93458.43923914457;006;014PR_ERP_BI
2025-10-05;105036.0957917541;006;014PR_ERP_BI
2025-10-06;91066.7458182191;006;014PR_ERP_BI
2025-10-07;87431.50362535482;006;014PR_ERP_BI
2025-10-08;56025.161310255266;006;014PR_ERP_BI
2025-10-09;74105.16570294186;006;014PR_ERP_BI
2025-10-10;139024.21027711406;006;014PR_ERP_BI
2025-10-11;124820.70241460246;006;014PR_ERP_BI
2025-10-12;101573.53686057386;006;014PR_ERP_BI
2025-10-13;205564.64784123658;006;014PR_ERP_BI
2025-10-14;145297.66087815675;006;014PR_ERP_BI
2025-10-15;345845.3035485388;006;014PR_ERP_BI
2025-10-16;351427.23912179656;006;014PR_ERP_BI
2025-10-17;237962.53148484917;006;014PR_ERP_BI
2025-10-18;205809.92927569244;006;014PR_ERP_BI
2025-10-19;278339.76328069816;006;014PR_ERP_BI
2025-10-20;171366.3310539202;006;014PR_ERP_BI
2025-10-21;159525.6271560064;006;014PR_ERP_BI
2025-10-22;141322.39809489102;006;014PR_ERP_BI
2025-10-23;151723.77197427247;006;014PR_ERP_BI
2025-10-24;206124.8418372488;006;014PR_ERP_BI
2025-10-25;193993.220628669;006;014PR_ERP_BI
2025-10-26;89463.51704793598;006;014PR_ERP_BI
2025-10-27;68033.75444498895;006;014PR_ERP_BI
2025-10-28;91823.6572110929;006;014PR_ERP_BI
2025-10-29;160439.28467730418;006;014PR_ERP_BI
2025-10-30;158544.01078549525;006;014PR_ERP_BI
2025-10-31;148139.73529311622;006;014PR_ERP_BI
2025-11-01;133399.23161377382;006;014PR_ERP_BI
2025-11-02;125902.45427892945;006;014PR_ERP_BI
2025-10-03;248839.94070887298;008;014PR_ERP_BI
2025-10-04;112821.68259855662;008;014PR_ERP_BI
2025-10-05;72927.46320009687;008;014PR_ERP_BI
2025-10-06;93155.31913768717;008;014PR_ERP_BI
2025-10-07;81355.57745857202;008;014PR_ERP_BI
2025-10-08;441265.7345626828;008;014PR_ERP_BI
2025-10-09;316312.0730848346;008;014PR_ERP_BI
2025-10-10;275331.23235032137;008;014PR_ERP_BI
2025-10-11;213115.19038311517;008;014PR_ERP_BI
2025-10-12;201763.36475449323;008;014PR_ERP_BI
2025-10-13;148612.18597496388;008;014PR_ERP_BI
2025-10-14;228578.70731032843;008;014PR_ERP_BI
2025-10-15;131891.37298702757;008;014PR_ERP_BI
2025-10-16;189074.41971391864;008;014PR_ERP_BI
2025-10-17;149425.99719760785;008;014PR_ERP_BI
2025-10-18;158623.08041816036;008;014PR_ERP_BI
2025-10-19;172179.19523952977;008;014PR_ERP_BI
2025-10-20;243330.67017547693;008;014PR_ERP_BI
2025-10-21;714734.1008308798;008;014PR_ERP_BI
2025-10-22;346203.88592129847;008;014PR_ERP_BI
2025-10-23;536425.5961178683;008;014PR_ERP_BI
2025-10-24;447642.61841182405;008;014PR_ERP_BI
2025-10-25;235719.24558730808;008;014PR_ERP_BI
2025-10-26;132781.07315449693;008;014PR_ERP_BI
2025-10-27;505043.1024257816;008;014PR_ERP_BI
2025-10-28;616107.1004507496;008;014PR_ERP_BI
2025-10-29;485553.48066999676;008;014PR_ERP_BI
2025-10-30;615856.7742234869;008;014PR_ERP_BI
2025-10-31;671884.5736937854;008;014PR_ERP_BI
2025-11-01;281285.3437586831;008;014PR_ERP_BI
