metrica;valor;forecast_horizon
MAPE;5.721254577593512;30
MAE;0.0665499985549729;30
RMSE;0.144894620270979;30
sMAPE;9.42897556885164;30
Bias;0.024050039942468;30
R2;-0.0375341871052639;30
forecast_horizon;30.0;30
MAPE;7.437630950871566;60
MAE;0.0865149981214648;60
RMSE;0.1883630063522727;60
sMAPE;12.257668239507131;60
Bias;0.024050039942468;60
R2;0.0;60
forecast_horizon;60.0;60
MAPE;9.15400732414962;90
MAE;0.1064799976879567;90
RMSE;0.2318313924335664;90
sMAPE;15.086360910162623;90
Bias;0.024050039942468;90
R2;0.0;90
forecast_horizon;90.0;90
