data;vendas_previstas;forecast_horizon
2025-10-04;17790.918682258492;30
2025-10-05;20265.37789297471;30
2025-10-06;42731.27652799455;30
2025-10-07;51861.09037807626;30
2025-10-08;50176.74732475562;30
2025-10-09;71810.20766760939;30
2025-10-10;44563.58591942646;30
2025-10-11;27173.7640636382;30
2025-10-12;26098.82528913654;30
2025-10-13;50887.07889519965;30
2025-10-14;35588.07825325132;30
2025-10-15;35070.7732038373;30
2025-10-16;55138.7452029811;30
2025-10-17;36723.44285334295;30
2025-10-18;32293.49367977024;30
2025-10-19;25715.832054267285;30
2025-10-20;44958.803329935785;30
2025-10-21;42485.50856482583;30
2025-10-22;37670.13375803285;30
2025-10-23;46324.8231212965;30
2025-10-24;30105.84830329775;30
2025-10-25;27871.05644423921;30
2025-10-26;27485.54071175633;30
2025-10-27;32629.77720859254;30
2025-10-28;28819.847127872217;30
2025-10-29;42208.680438408366;30
2025-10-30;36180.71479309907;30
2025-10-31;32292.53157118204;30
2025-11-01;35239.822498059875;30
2025-11-02;32229.07039549832;30
2025-10-04;17790.918682258492;60
2025-10-05;20265.37789297471;60
2025-10-06;42731.27652799455;60
2025-10-07;51861.09037807626;60
2025-10-08;50176.74732475562;60
2025-10-09;71810.20766760939;60
2025-10-10;44563.58591942646;60
2025-10-11;27173.7640636382;60
2025-10-12;26098.82528913654;60
2025-10-13;50887.07889519965;60
2025-10-14;35588.07825325132;60
2025-10-15;35070.7732038373;60
2025-10-16;55138.7452029811;60
2025-10-17;36723.44285334295;60
2025-10-18;32293.49367977024;60
2025-10-19;25715.832054267285;60
2025-10-20;44958.803329935785;60
2025-10-21;42485.50856482583;60
2025-10-22;37670.13375803285;60
2025-10-23;46324.8231212965;60
2025-10-24;30105.84830329775;60
2025-10-25;27871.05644423921;60
2025-10-26;27485.54071175633;60
2025-10-27;32629.77720859254;60
2025-10-28;28819.847127872217;60
2025-10-29;42208.680438408366;60
2025-10-30;36180.71479309907;60
2025-10-31;32292.53157118204;60
2025-11-01;35239.822498059875;60
2025-11-02;32229.07039549832;60
2025-11-03;46435.65133989107;60
2025-11-04;61340.32813228261;60
2025-11-05;68425.07551835728;60
2025-11-06;68394.34859548538;60
2025-11-07;55104.10392571509;60
2025-11-08;53586.70441682651;60
2025-11-09;42897.24495438573;60
2025-11-10;57830.74959434739;60
2025-11-11;47583.93759696608;60
2025-11-12;56182.11946481199;60
2025-11-13;58192.03321667869;60
2025-11-14;43026.03393927654;60
2025-11-15;27914.67383729629;60
2025-11-16;25005.93075916044;60
2025-11-17;33145.11495103921;60
2025-11-18;29716.413732833764;60
2025-11-19;32355.178839776247;60
2025-11-20;32853.52770269603;60
2025-11-21;34424.68276132435;60
2025-11-22;27940.89623593557;60
2025-11-23;30235.876777089416;60
2025-11-24;37761.48941100091;60
2025-11-25;40703.60776891717;60
2025-11-26;39697.52804152121;60
2025-11-27;55973.45570698261;60
2025-11-28;46850.837054325486;60
2025-11-29;34971.81615132722;60
2025-11-30;28810.064990345996;60
2025-12-01;44344.99516597146;60
2025-12-02;50593.254511587314;60
2025-10-04;17790.918682258492;90
2025-10-05;20265.37789297471;90
2025-10-06;42731.27652799455;90
2025-10-07;51861.09037807626;90
2025-10-08;50176.74732475562;90
2025-10-09;71810.20766760939;90
2025-10-10;44563.58591942646;90
2025-10-11;27173.7640636382;90
2025-10-12;26098.82528913654;90
2025-10-13;50887.07889519965;90
2025-10-14;35588.07825325132;90
2025-10-15;35070.7732038373;90
2025-10-16;55138.7452029811;90
2025-10-17;36723.44285334295;90
2025-10-18;32293.49367977024;90
2025-10-19;25715.832054267285;90
2025-10-20;44958.803329935785;90
2025-10-21;42485.50856482583;90
2025-10-22;37670.13375803285;90
2025-10-23;46324.8231212965;90
2025-10-24;30105.84830329775;90
2025-10-25;27871.05644423921;90
2025-10-26;27485.54071175633;90
2025-10-27;32629.77720859254;90
2025-10-28;28819.847127872217;90
2025-10-29;42208.680438408366;90
2025-10-30;36180.71479309907;90
2025-10-31;32292.53157118204;90
2025-11-01;35239.822498059875;90
2025-11-02;32229.07039549832;90
2025-11-03;46435.65133989107;90
2025-11-04;61340.32813228261;90
2025-11-05;68425.07551835728;90
2025-11-06;68394.34859548538;90
2025-11-07;55104.10392571509;90
2025-11-08;53586.70441682651;90
2025-11-09;42897.24495438573;90
2025-11-10;57830.74959434739;90
2025-11-11;47583.93759696608;90
2025-11-12;56182.11946481199;90
2025-11-13;58192.03321667869;90
2025-11-14;43026.03393927654;90
