data;vendas_previstas;forecast_horizon
2025-09-28;21180.768347886224;60
2025-09-29;34285.67717700295;60
2025-09-30;28260.76575901197;60
2025-10-01;44796.65393368883;60
2025-10-02;36110.280484283256;60
2025-10-03;32923.257663611126;60
2025-10-04;18480.65150367944;60
2025-10-05;19881.127755075686;60
2025-10-06;35859.985207227364;60
2025-10-07;50582.768230895;60
2025-10-08;46990.030798169035;60
2025-10-09;50911.21123728805;60
2025-10-10;39714.726473469214;60
2025-10-11;31410.938986761554;60
2025-10-12;30211.54290931038;60
2025-10-13;50210.82225464203;60
2025-10-14;60374.9045405096;60
2025-10-15;47372.45100601402;60
2025-10-16;56024.03623059295;60
2025-10-17;40376.187297916505;60
2025-10-18;32742.541212073167;60
2025-10-19;24037.1206167495;60
2025-10-20;46223.175723185734;60
2025-10-21;37960.61051011219;60
2025-10-22;36232.00756514861;60
2025-10-23;43144.14485583392;60
2025-10-24;31448.25866984598;60
2025-10-25;31914.534311640367;60
2025-10-26;24788.454984247845;60
2025-10-27;27006.504081762618;60
2025-10-28;33443.914864822116;60
2025-10-29;35297.74017766584;60
2025-10-30;35009.79746283113;60
2025-10-31;30518.40205705328;60
2025-11-01;31535.741742644695;60
2025-11-02;25777.443686493687;60
2025-11-03;44162.32747859847;60
2025-11-04;60046.443268808514;60
2025-11-05;74320.13655456985;60
2025-11-06;72509.64643869376;60
2025-11-07;50066.36882313409;60
2025-11-08;54922.502005973;60
2025-11-09;47198.438121337065;60
2025-11-10;52080.65000319633;60
2025-11-11;51075.247558338364;60
2025-11-12;47833.45315244606;60
2025-11-13;51868.89011826265;60
2025-11-14;40578.742249973584;60
2025-11-15;20798.223070836655;60
2025-11-16;21732.35952856155;60
2025-11-17;34921.11119064126;60
2025-11-18;28919.10324942725;60
2025-11-19;34579.96319062235;60
2025-11-20;33458.01663745167;60
2025-11-21;36929.57308368783;60
2025-11-22;34458.23867265349;60
2025-11-23;33304.03866741363;60
2025-11-24;35718.63418486403;60
2025-11-25;54828.91742005993;60
2025-11-26;47046.61395667806;60
