data;vendas_historicas
2024-11-25;3068.8
2024-11-26;0.0
2024-11-27;0.0
2024-11-28;0.0
2024-11-29;0.0
2024-11-30;0.0
2024-12-01;0.0
2024-12-02;5499.4
2024-12-03;1889.85
2024-12-04;0.0
2024-12-05;0.0
2024-12-06;0.0
2024-12-07;0.0
2024-12-08;0.0
2024-12-09;0.0
2024-12-10;0.0
2024-12-11;0.0
2024-12-12;0.0
2024-12-13;0.0
2024-12-14;0.0
2024-12-15;0.0
2024-12-16;0.0
2024-12-17;0.0
2024-12-18;0.0
2024-12-19;0.0
2024-12-20;0.0
2024-12-21;5810.3
2024-12-22;0.0
2024-12-23;0.0
2024-12-24;0.0
2024-12-25;0.0
2024-12-26;11617.73
2024-12-27;0.0
2024-12-28;0.0
2024-12-29;0.0
2024-12-30;0.0
2024-12-31;0.0
2025-01-01;0.0
2025-01-02;2100.3
2025-01-03;0.0
2025-01-04;3350.3
2025-01-05;1250.3
2025-01-06;1660.6
2025-01-07;0.0
2025-01-08;0.0
2025-01-09;0.0
2025-01-10;25864.05
2025-01-11;0.0
2025-01-12;0.0
2025-01-13;5831.2
2025-01-14;4470.3
2025-01-15;3544.3
2025-01-16;0.0
2025-01-17;23116.2
2025-01-18;0.0
2025-01-19;4396.48
2025-01-20;9816.2
2025-01-21;12947.0
2025-01-22;850.3
2025-01-23;263.4
2025-01-24;1320.3
2025-01-25;5392.6
2025-01-26;2066.6
2025-01-27;8350.9
2025-01-28;13827.77
2025-01-29;13201.9
2025-01-30;11092.4
2025-01-31;8696.6
2025-02-01;16628.8
2025-02-02;14431.5
2025-02-03;69480.4
2025-02-04;68489.95
2025-02-05;53404.26
2025-02-06;67096.15
2025-02-07;33780.6
2025-02-08;18408.3
2025-02-09;3859.5
2025-02-10;29081.35
2025-02-11;37027.0
2025-02-12;42839.4
2025-02-13;63215.8
2025-02-14;89744.4
2025-02-15;53873.92
2025-02-16;21764.25
2025-02-17;55106.58
2025-02-18;75316.19
2025-02-19;75216.75
2025-02-20;93474.05
2025-02-21;55127.7
2025-02-22;100735.41
2025-02-23;108839.3
2025-02-24;59695.76
2025-02-25;61594.55
2025-02-26;52171.9
2025-02-27;23323.5
2025-02-28;45107.25
2025-03-01;21528.5
2025-03-02;16258.5
2025-03-03;28609.5
2025-03-04;11600.0
2025-03-05;51153.5
2025-03-06;45144.7
2025-03-07;61882.15
2025-03-08;45779.49
2025-03-09;4636.6
2025-03-10;60071.05
2025-03-11;58662.61
2025-03-12;38360.9
2025-03-13;32476.25
2025-03-14;27203.1
2025-03-15;6813.5
2025-03-16;15521.5
2025-03-17;43332.25
2025-03-18;48423.68
2025-03-19;48693.3
2025-03-20;26383.79
2025-03-21;49764.03
2025-03-22;10998.5
2025-03-23;8584.47
2025-03-24;32603.61
2025-03-25;96741.8
2025-03-26;58654.57
2025-03-27;42782.9
2025-03-28;43914.3
2025-03-29;3740.5
2025-03-30;35434.5
2025-03-31;44454.2
2025-04-01;52912.8
2025-04-02;67689.09
2025-04-03;38286.04
2025-04-04;33967.0
2025-04-05;7143.9
2025-04-06;3250.0
2025-04-07;108107.48
2025-04-08;43631.9
2025-04-09;45174.15
2025-04-10;26130.9
2025-04-11;53346.95
2025-04-12;50072.0
2025-04-13;32552.0
2025-04-14;98334.25
2025-04-15;51571.35
2025-04-16;63350.98
2025-04-17;56184.07
2025-04-18;28579.0
2025-04-19;60933.5
2025-04-20;19419.0
2025-04-21;57342.5
2025-04-22;47844.25
2025-04-23;61279.8
2025-04-24;20636.5
2025-04-25;45247.35
2025-04-26;44397.5
2025-04-27;17475.9
2025-04-28;50599.32
2025-04-29;78512.5
2025-04-30;120449.16
2025-05-01;44529.33
2025-05-02;81670.35
2025-05-03;33319.2
2025-05-04;10255.5
2025-05-05;95834.43
2025-05-06;66042.65
2025-05-07;101781.03
2025-05-08;107440.75
2025-05-09;75910.13
2025-05-10;97173.0
2025-05-11;17495.9
2025-05-12;33877.0
2025-05-13;23877.48
2025-05-14;65151.7
2025-05-15;58303.5
2025-05-16;37071.35
2025-05-17;30061.0
2025-05-18;24075.0
2025-05-19;50400.7
2025-05-20;27440.7
2025-05-21;46995.9
2025-05-22;34128.95
2025-05-23;33883.0
2025-05-24;29436.6
2025-05-25;24305.1
2025-05-26;56414.8
2025-05-27;56890.2
2025-05-28;26176.51
2025-05-29;41791.68
2025-05-30;31768.15
2025-05-31;18922.0
2025-06-01;15206.5
2025-06-02;14012.35
2025-06-03;48196.8
2025-06-04;25404.23
2025-06-05;62244.8
2025-06-06;86868.75
2025-06-07;10830.0
2025-06-08;37504.9
2025-06-09;81010.0
2025-06-10;54771.8
2025-06-11;44487.6
2025-06-12;77733.15
2025-06-13;81158.0
2025-06-14;3394.5
2025-06-15;9819.0
2025-06-16;16534.5
2025-06-17;61568.25
2025-06-18;44060.63
2025-06-19;4340.0
2025-06-20;61468.48
2025-06-21;69684.0
2025-06-22;26420.0
2025-06-23;52349.5
2025-06-24;45685.5
2025-06-25;53829.4
2025-06-26;19011.05
2025-06-27;17346.82
2025-06-28;22686.5
2025-06-29;14230.0
2025-06-30;36457.0
2025-07-01;63777.38
2025-07-02;21407.0
2025-07-03;33937.66
2025-07-04;31609.79
2025-07-05;68697.94
2025-07-06;44669.58
2025-07-07;78445.05
2025-07-08;74534.9
2025-07-09;60826.0
2025-07-10;64435.8
2025-07-11;116085.2
2025-07-12;48977.55
2025-07-13;47821.9
2025-07-14;91017.25
2025-07-15;16883.4
2025-07-16;32100.4
2025-07-17;53051.25
2025-07-18;39391.3
2025-07-19;18672.95
2025-07-20;13834.0
2025-07-21;46733.5
2025-07-22;52509.55
2025-07-23;26181.8
2025-07-24;32274.8
2025-07-25;36791.68
2025-07-26;37192.5
2025-07-27;18355.5
2025-07-28;16498.75
2025-07-29;34247.08
2025-07-30;43614.1
2025-07-31;121220.83
2025-08-01;44572.3
2025-08-02;23388.0
2025-08-03;35100.98
2025-08-04;78053.55
2025-08-05;70709.75
2025-08-06;54402.65
2025-08-07;54352.8
2025-08-08;85059.5
2025-08-09;32874.55
2025-08-10;19036.9
2025-08-11;33271.0
2025-08-12;21145.21
2025-08-13;21848.0
2025-08-14;32863.98
2025-08-15;35486.7
2025-08-16;19680.75
2025-08-17;1540.0
2025-08-18;24019.4
2025-08-19;0.0
2025-08-20;36169.4
2025-08-21;30263.28
2025-08-22;22723.5
2025-08-23;27911.0
2025-08-24;36936.5
2025-08-25;18390.8
2025-08-26;35732.7
2025-08-27;85940.9
2025-08-28;74781.45
2025-08-29;34009.5
2025-08-30;36740.0
2025-08-31;13430.0
2025-09-01;73998.8
2025-09-02;47513.32
2025-09-03;62779.3
2025-09-04;46494.65
2025-09-05;108521.25
2025-09-06;65561.95
2025-09-07;25582.5
2025-09-08;103913.2
