empresa;metrica;valor
AF;MAPE;14.233572209604258
AF;MAE;0.12741140535292136
AF;RMSE;0.2289641000817463
AF;sMAPE;27.6638648976833
AF;Bias;0.05063948371637308
AF;R2;0.19881828151111036
AF;forecast_horizon;30.0
JO;MAPE;58.6568347137167
JO;MAE;0.586568347137167
JO;RMSE;0.5866983537156427
JO;sMAPE;200.0
JO;Bias;0.586568347137167
JO;R2;0.0
JO;forecast_horizon;30.0
MRB;MAPE;60.5442554899232
MRB;MAE;0.13938290976935316
MRB;RMSE;0.19073817538794768
MRB;sMAPE;22.347706089591465
MRB;Bias;0.04619688938703439
MRB;R2;-0.34709915287303605
MRB;forecast_horizon;30.0
OF;MAPE;6.289726475168484
OF;MAE;0.05697199612383541
OF;RMSE;0.06511894149726641
OF;sMAPE;6.3319861269809135
OF;Bias;-0.00784805485647136
OF;R2;-0.4484350851220513
OF;forecast_horizon;30.0
RIO;MAPE;2420.4721265018607
RIO;MAE;0.30541465034280885
RIO;RMSE;0.44430945241543673
RIO;sMAPE;66.72076110261881
RIO;Bias;0.1452422622008768
RIO;R2;-0.6111963500685587
RIO;forecast_horizon;30.0
